Code,Msoa_name,lone_parent_unemployed,families_with_3plus_kids,population_cannot_speak_english,Limiting_long-term_illness_disability,education_no qualifications,work_49hr_more
E02000351,Hackney 007,53.3,17.42209632,4.8,11.5,11.2,941
E02000352,Hackney 008,44.5,24.6737841,4.6,15.9,18.9,522
E02000353,Hackney 009,42.2,14.38848921,3.7,11.9,12.4,795
E02000354,Hackney 010,55.5,21.29471891,7.0,17.1,21.0,507
E02000355,Hackney 011,47.3,20.42410714,6.0,15.6,17.5,562
E02000356,Hackney 012,38.9,14.38935913,4.1,12.0,11.8,707
E02000357,Hackney 013,53.5,26.28968254,7.3,18.6,27.6,192
E02000358,Hackney 014,54.5,15.73994867,6.0,14.7,17.0,888
E02000359,Hackney 015,54.5,25.0,5.4,14.8,19.7,427
E02000360,Hackney 016,51.0,20.02635046,6.5,15.6,20.6,657
E02000361,Hackney 017,51.1,17.47815231,5.0,13.5,16.1,597
E02000362,Hackney 018,57.0,25.0,4.0,18.2,22.3,380
E02000363,Hackney 019,57.2,22.39170226,7.2,16.3,26.2,416
E02000364,Hackney 020,47.1,16.468039,3.7,13.8,14.5,921
E02000365,Hackney 021,53.0,16.93171188,4.2,13.7,14.6,1480
E02000366,Hackney 022,52.6,21.1026616,4.5,16.8,22.6,589
E02000367,Hackney 023,48.3,17.32495512,3.3,11.7,12.9,977
E02000368,Hackney 024,58.4,22.46998285,6.4,17.8,22.8,625
E02000369,Hackney 025,56.4,18.08590806,5.8,15.4,19.6,1027
E02000370,Hackney 026,53.2,17.20542231,5.5,15.2,20.6,801
E02000371,Hackney 027,48.9,18.05128205,3.4,10.7,11.9,1754
E02000372,Hammersmith and Fulham 0,54.0,24.23112768,4.2,15.4,23.0,497
E02000373,Hammersmith and Fulham 0,55.4,24.0776699,6.3,16.4,25.7,261
E02000374,Hammersmith and Fulham 0,53.8,21.14882507,3.5,15.3,17.6,587
E02000375,Hammersmith and Fulham 0,52.3,17.6217765,3.5,15.0,15.1,729
E02000376,Hammersmith and Fulham 0,46.1,12.77258567,2.9,13.3,13.3,737
E02000377,Hammersmith and Fulham 0,47.8,16.44815256,3.1,13.7,14.4,748
E02000378,Hammersmith and Fulham 0,46.9,16.36363636,2.4,11.7,9.4,948
E02000379,Hammersmith and Fulham 0,50.0,19.20374707,2.7,13.6,11.0,780
E02000380,Hammersmith and Fulham 0,46.6,14.89698891,1.8,11.4,10.5,825
E02000381,Hammersmith and Fulham 0,42.0,16.94711538,2.0,10.8,9.5,1236
E02000382,Hammersmith and Fulham 0,54.5,16.47058824,2.5,12.4,9.9,694
E02000383,Hammersmith and Fulham 0,41.9,15.2758133,2.5,11.9,9.1,1206
E02000384,Hammersmith and Fulham 0,51.0,20.25677603,3.2,17.3,17.4,666
E02000385,Hammersmith and Fulham 0,47.7,8.547008547,1.8,8.5,6.7,1083
E02000386,Hammersmith and Fulham 0,49.2,19.27846674,3.6,15.4,17.1,753
E02000387,Hammersmith and Fulham 0,51.9,13.30998249,3.0,13.5,14.0,684
E02000388,Hammersmith and Fulham 0,47.4,14.13043478,1.9,12.6,12.8,1291
E02000389,Hammersmith and Fulham 0,35.9,15.18661519,1.7,10.9,10.7,1088
E02000390,Hammersmith and Fulham 0,48.0,16.80261011,2.5,12.4,12.5,935
E02000391,Hammersmith and Fulham 0,55.8,20.0,1.2,11.3,10.9,1353
E02000392,Hammersmith and Fulham 0,54.1,18.62269641,2.1,10.1,9.9,1715
E02000393,Hammersmith and Fulham 0,48.7,14.2599278,1.5,9.0,8.0,1185
E02000394,Hammersmith and Fulham 0,44.3,13.62048894,1.9,11.8,12.4,1103
E02000395,Hammersmith and Fulham 0,48.6,21.42857143,0.9,9.2,6.3,1119
E02000396,Hammersmith and Fulham 0,52.9,19.6801968,2.1,10.2,11.7,974
E02000397,Haringey 001,46.0,12.7388535,8.2,13.7,17.0,525
E02000398,Haringey 002,57.4,23.80090498,10.7,16.4,28.2,188
E02000400,Haringey 004,46.5,18.60019175,5.1,14.1,16.4,468
E02000401,Haringey 005,51.5,24.6728972,9.1,17.4,30.5,214
E02000402,Haringey 006,54.0,23.58402971,10.1,17.3,29.5,203
E02000403,Haringey 007,50.2,14.82444733,8.9,14.1,16.6,469
E02000404,Haringey 008,59.1,25.0,10.0,15.9,23.5,296
E02000405,Haringey 009,39.6,18.11111111,1.4,10.6,7.7,655
E02000406,Haringey 010,58.2,18.54304636,9.3,16.7,21.0,319
E02000407,Haringey 011,47.0,16.32841328,10.5,16.4,24.6,300
E02000408,Haringey 012,50.1,20.31114952,11.8,15.3,26.9,181
E02000409,Haringey 013,49.2,20.30401737,10.5,17.2,27.0,269
E02000410,Haringey 014,26.0,17.47815231,1.2,10.9,7.2,730
E02000411,Haringey 015,49.5,22.04568024,10.2,14.1,22.5,243
E02000412,Haringey 016,49.9,14.44174757,9.4,17.2,20.5,330
E02000413,Haringey 017,36.5,20.43314501,1.8,11.5,10.0,702
E02000414,Haringey 018,45.0,20.27600849,9.6,13.8,20.5,367
E02000415,Haringey 019,51.9,19.91465149,10.3,15.3,21.2,395
E02000416,Haringey 020,52.2,17.09786277,4.2,16.3,16.1,635
E02000417,Haringey 021,31.3,14.62140992,1.0,10.6,7.7,789
E02000418,Haringey 022,37.3,13.45609065,1.4,11.4,9.7,609
E02000419,Haringey 023,48.6,15.24163569,8.5,12.8,15.6,616
E02000420,Haringey 024,47.2,19.95708155,11.8,16.3,22.8,348
E02000421,Haringey 025,51.6,18.5492228,10.8,16.5,22.6,292
E02000422,Haringey 026,44.7,22.6640159,10.1,16.1,23.0,362
E02000423,Haringey 027,44.9,17.56097561,9.5,14.5,17.7,427
E02000424,Haringey 028,40.1,12.47139588,2.5,11.6,10.5,644
E02000425,Haringey 029,49.1,48.72611465,11.1,11.3,28.8,193
E02000426,Haringey 030,42.7,15.53133515,1.6,12.8,9.3,882
E02000427,Haringey 031,46.8,11.49253731,6.3,12.0,12.6,560
E02000428,Haringey 032,55.0,21.19565217,10.8,16.3,23.0,323
E02000429,Haringey 033,23.6,12.00527704,1.1,9.7,6.0,899
E02000430,Haringey 034,30.1,15.22346369,1.5,9.0,7.3,950
E02000431,Haringey 035,35.8,11.66936791,1.1,7.8,4.4,1032
E02000432,Haringey 036,46.6,16.32,2.8,12.4,10.4,645
E02000433,Harrow 001,41.9,14.625,3.1,20.2,20.2,661
E02000434,Harrow 002,47.2,18.87905605,3.8,16.0,16.5,619
E02000435,Harrow 003,53.8,20.13129103,3.5,18.8,19.5,507
E02000436,Harrow 004,25.0,13.74622356,2.3,14.7,13.7,507
E02000437,Harrow 005,40.3,18.47313855,3.9,16.2,18.1,484
E02000438,Harrow 006,47.1,17.07779886,3.4,17.3,19.6,535
E02000439,Harrow 007,50.3,18.04733728,8.2,14.2,22.1,442
E02000440,Harrow 008,30.7,18.11023622,4.6,12.6,15.1,611
E02000441,Harrow 009,43.4,15.49636804,3.2,17.2,17.2,458
E02000442,Harrow 010,41.3,20.58570198,9.7,12.7,21.9,396
E02000443,Harrow 011,45.8,23.50659426,7.4,15.1,21.3,447
E02000444,Harrow 012,43.6,17.74332472,7.1,13.4,19.5,428
E02000445,Harrow 013,49.9,17.15893108,7.3,14.4,18.8,421
E02000447,Harrow 015,48.1,16.24203822,3.7,14.7,14.1,469
E02000448,Harrow 016,37.6,14.49275362,1.5,13.9,10.5,612
E02000449,Harrow 017,45.5,16.90962099,10.8,16.2,24.5,404
E02000451,Harrow 019,28.4,14.0567201,2.8,13.6,12.3,439
E02000452,Harrow 020,44.4,12.88032454,5.0,12.1,12.6,527
E02000453,Harrow 021,42.1,16.93711968,5.0,13.1,12.6,506
E02000454,Harrow 022,30.4,14.74103586,1.6,11.6,11.3,548
E02000455,Harrow 023,48.0,12.04690832,4.1,13.8,11.9,550
E02000456,Harrow 024,46.5,15.70512821,3.9,14.3,13.2,436
E02000457,Harrow 025,31.2,18.53233831,3.7,13.8,12.8,378
E02000459,Harrow 027,46.6,17.44966443,6.4,14.7,16.4,414
E02000460,Harrow 028,47.0,19.92031873,6.1,15.4,19.1,228
E02000461,Harrow 029,43.4,10.18766756,2.5,10.6,10.3,720
E02000462,Harrow 030,41.8,18.97727273,7.3,14.3,18.0,310
E02000463,Harrow 031,47.9,21.31280389,6.0,14.5,19.0,385
E02000464,Havering 001,52.0,22.7771011,0.5,21.9,37.0,290
E02000465,Havering 002,54.7,19.98175182,0.6,19.1,32.5,370
E02000466,Havering 003,49.3,17.76785714,0.5,18.0,30.6,427
E02000467,Havering 004,55.3,20.14234875,0.9,20.7,35.0,390
E02000468,Havering 005,47.0,17.5204918,0.6,18.1,30.4,419
E02000469,Havering 006,46.9,19.14153132,1.3,21.6,33.7,284
E02000470,Havering 007,34.3,11.86046512,0.4,18.0,24.5,515
E02000471,Havering 008,35.5,15.14778325,0.4,16.5,26.5,443
E02000472,Havering 009,35.0,14.05975395,0.5,16.7,25.9,483
E02000473,Havering 010,34.7,14.77462437,0.4,15.1,23.1,642
E02000474,Havering 011,50.6,15.34246575,0.6,17.2,28.7,428
E02000475,Havering 012,47.7,12.73584906,0.5,14.8,19.3,766
E02000476,Havering 013,55.9,12.85855589,1.6,16.5,22.6,590
E02000477,Havering 014,29.9,15.20737327,0.5,15.0,20.7,677
E02000478,Havering 015,24.1,18.4991274,0.9,16.0,23.0,544
E02000479,Havering 016,40.1,12.20703125,1.6,15.2,21.9,490
E02000480,Havering 017,43.8,15.1026393,1.5,15.2,25.1,520
E02000481,Havering 018,29.2,11.51776103,0.4,19.7,27.1,447
E02000482,Havering 019,41.1,16.11111111,0.3,16.2,17.3,507
E02000483,Havering 020,35.4,11.83162685,0.6,19.1,26.8,471
E02000484,Havering 021,31.5,12.79296875,0.6,15.9,24.1,557
E02000485,Havering 022,33.6,13.27885598,0.5,16.4,22.6,522
E02000486,Havering 023,34.3,15.59405941,0.7,17.1,25.8,415
E02000487,Havering 024,21.5,14.67268623,0.2,15.0,17.2,632
E02000488,Havering 025,32.4,12.20379147,0.5,16.2,24.9,411
E02000489,Havering 026,46.4,17.25571726,0.9,18.3,27.3,374
E02000490,Havering 027,38.9,16.77148847,0.6,18.8,33.1,357
E02000491,Havering 028,51.6,19.82832618,1.0,18.3,32.1,435
E02000492,Havering 029,32.5,14.80406386,0.4,17.7,31.6,353
E02000493,Havering 030,51.7,16.21621622,1.2,15.3,27.8,308
E02000494,Hillingdon 001,39.5,13.22115385,1.3,14.5,13.1,669
E02000495,Hillingdon 002,41.6,10.65502183,2.0,15.8,15.9,731
E02000496,Hillingdon 003,40.1,14.07982262,0.7,17.6,23.8,524
E02000497,Hillingdon 004,34.4,14.18439716,1.3,15.1,16.7,599
E02000498,Hillingdon 005,29.4,14.49864499,0.5,15.5,18.9,417
E02000499,Hillingdon 006,26.0,16.06382979,1.2,14.0,14.4,500
E02000500,Hillingdon 007,35.0,16.29802095,1.1,14.1,13.3,635
E02000501,Hillingdon 008,32.8,12.63636364,0.8,13.8,16.6,513
E02000502,Hillingdon 009,31.7,14.98993964,1.3,14.0,16.6,533
E02000503,Hillingdon 010,30.3,12.48937978,1.1,11.5,15.7,669
E02000504,Hillingdon 011,19.4,15.00547645,0.7,14.4,14.8,530
E02000506,Hillingdon 013,36.7,15.78313253,1.1,14.9,15.0,617
E02000507,Hillingdon 014,38.5,16.70973299,1.5,12.9,16.9,434
E02000508,Hillingdon 015,35.6,11.95372751,2.2,12.2,12.4,523
E02000509,Hillingdon 016,48.2,14.66030989,2.6,10.9,11.7,443
E02000510,Hillingdon 017,40.6,16.58856607,2.0,15.1,18.7,514
E02000511,Hillingdon 018,42.2,17.73818745,3.2,14.5,20.8,422
E02000512,Hillingdon 019,48.6,18.70503597,2.9,16.4,24.3,379
E02000513,Hillingdon 020,55.6,20.82191781,5.3,13.4,24.3,359
E02000514,Hillingdon 021,49.8,22.10909091,7.3,14.7,21.1,393
E02000515,Hillingdon 022,45.6,14.68584406,2.7,14.4,20.8,591
E02000516,Hillingdon 023,45.3,18.38810642,6.0,12.7,17.7,365
E02000517,Hillingdon 024,48.4,21.73584906,5.8,16.1,25.9,332
E02000518,Hillingdon 025,50.7,19.9663016,2.4,16.9,26.9,383
E02000519,Hillingdon 026,58.0,23.75102375,6.5,16.6,25.4,358
E02000520,Hillingdon 027,53.7,21.76913425,6.9,14.4,23.4,487
E02000521,Hillingdon 028,49.6,22.36929186,3.9,14.4,24.6,488
E02000522,Hillingdon 029,50.4,18.00643087,3.0,15.3,22.8,480
E02000523,Hillingdon 030,48.1,22.64833575,7.2,12.9,19.7,367
E02000524,Hillingdon 031,52.5,16.18037135,3.7,13.7,21.6,505
E02000525,Hillingdon 032,50.1,17.5257732,6.2,12.6,20.2,384
E02000526,Hounslow 001,41.3,16.96035242,1.4,9.4,7.6,1264
E02000528,Hounslow 003,53.2,16.11940299,4.1,15.9,19.8,769
E02000529,Hounslow 004,52.3,17.31418919,8.4,14.9,18.0,355
E02000530,Hounslow 005,59.6,22.49269718,8.5,16.2,25.8,227
E02000531,Hounslow 006,41.3,11.9544592,2.6,13.0,15.5,829
E02000532,Hounslow 007,43.7,16.71018277,1.5,12.1,11.4,1175
E02000533,Hounslow 008,40.5,11.93016489,1.5,12.0,9.6,1090
E02000534,Hounslow 009,44.4,14.82233503,3.5,11.3,11.3,626
E02000535,Hounslow 010,50.8,20.48085485,7.5,14.9,16.8,390
E02000536,Hounslow 011,49.5,18.27411168,7.2,14.8,16.2,438
E02000537,Hounslow 012,33.9,12.58603736,6.2,12.3,10.5,480
E02000538,Hounslow 013,50.7,20.5908684,9.0,14.6,18.3,388
E02000539,Hounslow 014,45.8,17.82518926,3.1,13.3,15.9,771
E02000540,Hounslow 015,45.2,12.83185841,5.2,13.8,14.3,553
E02000541,Hounslow 016,52.2,17.33944954,8.3,17.2,19.6,370
E02000542,Hounslow 017,54.0,15.82014988,7.3,15.2,17.1,368
E02000543,Hounslow 018,43.7,12.22432262,6.5,10.6,12.3,617
E02000544,Hounslow 019,32.2,16.10087294,5.1,13.6,17.1,465
E02000545,Hounslow 020,54.1,18.721038,3.9,15.2,20.3,587
E02000546,Hounslow 021,57.8,20.04405286,7.0,13.0,16.3,391
E02000547,Hounslow 022,48.6,14.89686784,4.2,15.6,24.7,466
E02000548,Hounslow 023,49.6,19.3338749,3.4,16.0,25.0,526
E02000549,Hounslow 024,43.2,16.53872994,3.9,15.7,24.8,603
E02000550,Hounslow 025,49.3,17.76315789,3.0,11.7,22.0,478
E02000551,Hounslow 026,53.8,20.63492063,4.4,16.0,26.6,376
E02000552,Hounslow 027,46.6,14.08566722,2.5,11.3,19.6,498
E02000553,Hounslow 028,47.4,16.83277962,2.6,14.3,24.5,382
E02000554,Islington 001,56.9,15.39108495,4.2,18.8,19.3,543
E02000555,Islington 002,57.6,17.89375582,3.2,15.8,17.0,789
E02000556,Islington 003,49.4,14.25837321,4.0,16.2,15.6,790
E02000557,Islington 004,54.5,14.11764706,3.2,18.9,18.8,644
E02000558,Islington 005,57.9,22.91491154,7.6,20.4,27.5,453
E02000559,Islington 006,51.0,16.02787456,2.7,11.6,11.4,1197
E02000560,Islington 007,51.8,17.35074627,4.6,13.8,14.6,683
E02000561,Islington 008,47.7,15.82278481,1.8,12.2,10.4,854
E02000562,Islington 009,51.5,19.95438997,3.3,16.5,16.9,865
E02000563,Islington 010,57.1,21.50289017,4.1,19.0,21.8,545
E02000564,Islington 011,54.8,15.20086862,3.1,13.1,13.7,1245
E02000565,Islington 012,60.8,19.57186544,4.7,16.3,18.9,727
E02000566,Islington 013,47.2,15.80246914,2.5,12.3,11.6,1310
E02000567,Islington 014,61.2,14.31226766,2.8,15.4,16.8,1413
E02000568,Islington 015,60.7,21.60427807,4.2,19.7,23.9,537
E02000569,Islington 016,57.6,15.43985637,2.9,17.2,19.0,1230
E02000570,Islington 017,47.2,15.66878981,1.1,11.0,9.8,1550
E02000571,Islington 018,63.4,15.02293578,3.1,18.9,22.1,939
E02000572,Islington 019,56.6,19.91786448,5.4,18.4,25.3,512
E02000573,Islington 020,52.6,14.84149856,1.5,13.0,11.8,1801
E02000574,Islington 021,59.6,15.4340836,2.2,14.6,14.8,1178
E02000575,Islington 022,57.5,14.64585834,2.3,12.1,12.8,2000
E02000576,Islington 023,57.8,19.10229645,2.9,15.5,19.7,1095
E02000577,Kensington and Chelsea 0,57.0,19.48331539,5.5,21.2,24.9,432
E02000578,Kensington and Chelsea 0,54.9,19.11949686,3.8,22.1,26.0,320
E02000579,Kensington and Chelsea 0,52.4,17.83181358,2.7,16.4,15.5,1002
E02000580,Kensington and Chelsea 0,50.1,13.32518337,2.8,16.7,14.2,1232
E02000581,Kensington and Chelsea 0,57.3,20.15418502,4.0,22.0,24.9,500
E02000582,Kensington and Chelsea 0,49.6,17.85150079,1.6,9.9,6.2,1697
E02000583,Kensington and Chelsea 0,44.4,19.7875166,1.2,9.3,7.5,1558
E02000584,Kensington and Chelsea 0,49.4,15.93830334,1.7,8.4,4.5,1876
E02000585,Kensington and Chelsea 0,65.3,19.19642857,2.4,10.1,7.2,1380
E02000586,Kensington and Chelsea 0,42.3,17.09286676,1.7,6.4,4.1,1712
E02000587,Kensington and Chelsea 0,54.7,19.37669377,2.3,8.6,5.5,1541
E02000588,Kensington and Chelsea 0,40.8,16.98717949,1.6,6.7,5.0,2094
E02000589,Kensington and Chelsea 0,47.3,15.44342508,3.1,9.0,5.3,1804
E02000590,Kensington and Chelsea 0,53.8,15.57788945,2.6,14.3,12.4,1200
E02000591,Kensington and Chelsea 0,43.8,16.66666667,4.0,14.8,9.6,1088
E02000592,Kensington and Chelsea 0,44.4,17.75862069,1.2,6.1,3.6,1780
E02000593,Kensington and Chelsea 0,46.4,16.77018634,1.7,10.8,6.2,1711
E02000594,Kensington and Chelsea 0,49.5,16.4644714,1.1,12.4,9.0,1577
E02000595,Kensington and Chelsea 0,49.5,16.7721519,1.8,11.3,7.1,1545
E02000596,Kensington and Chelsea 0,42.3,17.10730949,1.2,8.0,4.8,1687
E02000597,Kensington and Chelsea 0,54.9,18.13403417,3.5,18.1,16.6,812
E02000598,Kingston upon Thames 001,27.7,14.8020654,1.0,10.5,10.7,737
E02000599,Kingston upon Thames 002,41.5,19.64497041,2.4,11.4,10.0,711
E02000600,Kingston upon Thames 003,46.2,15.91796875,2.5,10.4,9.4,658
E02000601,Kingston upon Thames 004,36.9,12.44019139,1.4,9.6,9.3,1026
E02000602,Kingston upon Thames 005,54.3,13.22393822,2.9,13.9,15.2,625
E02000603,Kingston upon Thames 006,44.8,18.58325667,4.1,13.9,18.7,450
E02000604,Kingston upon Thames 007,35.8,14.39588689,5.5,11.6,12.4,640
E02000605,Kingston upon Thames 008,30.7,15.15151515,3.9,14.1,14.8,608
E02000606,Kingston upon Thames 009,42.3,8.95334174,1.6,9.5,6.7,1070
E02000607,Kingston upon Thames 010,33.3,14.72972973,1.5,10.1,8.8,515
E02000608,Kingston upon Thames 011,40.2,7.518796992,1.5,10.6,7.4,717
E02000609,Kingston upon Thames 012,43.7,17.67151767,4.2,15.3,16.7,485
E02000610,Kingston upon Thames 013,43.3,10.3021978,1.8,14.9,11.6,768
E02000611,Kingston upon Thames 014,25.4,16.72203765,1.5,13.2,13.5,534
E02000612,Kingston upon Thames 015,26.5,13.94871795,2.4,13.5,15.0,560
E02000613,Kingston upon Thames 016,40.6,10.5620155,1.6,13.3,14.3,653
E02000614,Kingston upon Thames 017,33.8,14.63620981,3.4,13.1,18.4,446
E02000615,Kingston upon Thames 018,32.5,15.88114754,1.8,14.4,19.5,485
E02000616,Kingston upon Thames 019,30.9,13.81909548,1.1,11.8,19.0,396
E02000617,Kingston upon Thames 020,43.7,15.10966694,1.5,14.6,21.1,530
E02000619,Lambeth 002,49.2,18.77777778,3.8,16.0,20.2,694
E02000620,Lambeth 003,45.0,16.52173913,3.4,12.4,13.9,1069
E02000621,Lambeth 004,52.8,18.85245902,3.9,12.7,11.9,1261
E02000622,Lambeth 005,47.4,18.09651475,3.7,12.2,12.9,808
E02000623,Lambeth 006,48.3,16.2055336,5.9,14.3,19.1,643
E02000624,Lambeth 007,44.3,17.21132898,4.0,14.5,15.2,708
E02000625,Lambeth 008,50.3,20.68965517,6.9,13.5,19.1,582
E02000626,Lambeth 009,52.1,20.34739454,4.9,14.4,20.3,431
E02000627,Lambeth 010,49.8,16.42411642,4.2,12.1,13.3,979
E02000628,Lambeth 011,51.0,23.37349398,7.7,14.6,20.8,541
E02000629,Lambeth 012,47.3,16.83673469,2.1,10.2,10.4,1425
E02000630,Lambeth 013,48.2,18.37060703,1.8,10.8,9.1,1238
E02000631,Lambeth 014,43.2,16.12284069,2.9,12.0,11.9,824
E02000632,Lambeth 015,49.8,16.0,1.9,9.0,8.2,1470
E02000633,Lambeth 016,50.8,18.61702128,3.6,14.1,14.9,721
E02000634,Lambeth 017,55.9,20.03154574,2.6,14.1,14.6,779
E02000635,Lambeth 018,44.6,16.03498542,2.3,11.9,11.8,899
E02000636,Lambeth 019,51.5,19.66145833,1.4,7.8,6.1,1522
E02000637,Lambeth 020,47.3,13.87137453,2.2,10.9,10.1,924
E02000638,Lambeth 021,42.4,15.78014184,3.6,13.5,16.5,746
E02000639,Lambeth 022,50.7,18.85175664,5.8,13.8,17.3,456
E02000640,Lambeth 023,45.5,15.24201854,1.7,11.3,10.8,1164
E02000641,Lambeth 024,48.8,20.49364248,4.4,15.4,19.4,401
E02000642,Lambeth 025,47.3,16.31372549,2.4,13.3,13.7,735
E02000643,Lambeth 026,42.8,16.08961303,4.1,12.1,13.0,849
E02000644,Lambeth 027,38.3,13.45646438,3.6,11.9,12.8,681
E02000645,Lambeth 028,42.7,14.37648928,3.1,11.3,12.1,811
E02000646,Lambeth 029,42.1,14.46188341,4.3,12.3,12.3,908
E02000647,Lambeth 030,44.1,16.20658949,2.7,13.9,14.1,622
E02000648,Lambeth 031,50.9,17.77084957,2.8,16.6,23.3,357
E02000649,Lambeth 032,45.3,14.20074349,5.3,11.3,12.6,945
E02000650,Lambeth 033,46.1,16.40776699,2.3,14.4,18.1,482
E02000651,Lambeth 034,41.5,13.58249772,4.5,12.8,15.0,658
E02000652,Lambeth 035,42.5,23.2049948,7.1,14.7,18.4,351
E02000653,Lewisham 001,49.8,20.94474153,4.0,12.4,16.6,605
E02000654,Lewisham 002,52.1,21.32780083,6.5,14.5,21.8,395
E02000655,Lewisham 003,46.5,18.50802644,4.0,12.6,17.0,485
E02000657,Lewisham 005,40.1,15.24861878,2.9,11.6,12.3,577
E02000658,Lewisham 006,47.0,15.46723953,3.6,13.6,14.3,558
E02000659,Lewisham 007,41.6,14.62217861,3.0,12.7,14.3,766
E02000660,Lewisham 008,39.0,12.10340776,1.9,11.2,11.2,735
E02000661,Lewisham 009,38.0,11.55015198,1.3,13.0,11.9,817
E02000662,Lewisham 010,36.3,15.51724138,3.2,12.6,14.5,534
E02000663,Lewisham 011,36.2,14.30429129,3.5,12.0,11.3,509
E02000664,Lewisham 012,52.4,12.36947791,4.8,15.5,17.4,618
E02000665,Lewisham 013,39.1,12.83095723,3.0,13.8,15.2,631
E02000666,Lewisham 014,41.0,13.81048387,3.1,13.3,14.3,539
E02000667,Lewisham 015,32.8,10.51401869,2.2,11.8,14.8,450
E02000668,Lewisham 016,41.4,12.13808463,1.9,13.5,13.9,497
E02000669,Lewisham 017,47.2,14.04072883,2.7,12.9,14.3,573
E02000670,Lewisham 018,49.6,16.17795753,3.1,15.6,18.9,276
E02000671,Lewisham 019,43.3,12.31481481,2.0,14.1,15.6,633
E02000672,Lewisham 020,43.6,16.54991243,3.3,16.0,17.2,416
E02000673,Lewisham 021,37.3,17.9090029,1.8,11.0,11.2,726
E02000674,Lewisham 022,38.6,19.29666366,3.0,14.8,17.5,417
E02000675,Lewisham 023,38.1,12.75229358,2.2,14.4,19.3,538
E02000676,Lewisham 024,46.4,13.67521368,1.7,13.3,15.0,598
E02000677,Lewisham 025,33.3,17.07589286,2.8,14.2,17.1,444
E02000678,Lewisham 026,43.0,17.8,2.2,16.4,26.4,265
E02000679,Lewisham 027,48.3,14.61397059,2.3,14.7,17.4,509
E02000680,Lewisham 028,43.9,13.7295082,2.8,15.0,17.1,424
