Code,Msoa_name,lone_parent_unemployed,families_with_3plus_kids,population_cannot_speak_english,Limiting_long-term_illness_disability,education_no qualifications,work_49hr_more
E02000681,Lewisham 029,44.0,19.96542783,2.4,17.8,25.1,387
E02000682,Lewisham 030,46.4,19.62025316,3.2,17.1,25.5,318
E02000683,Lewisham 031,54.2,16.52452026,2.2,18.7,26.9,287
E02000685,Lewisham 033,44.1,14.75095785,2.0,16.0,19.4,429
E02000686,Lewisham 034,48.4,17.99462847,2.5,17.1,25.8,232
E02000687,Lewisham 035,36.7,13.50826045,1.8,15.7,18.1,488
E02000689,Merton 001,44.2,14.61609621,1.2,8.6,7.1,1010
E02000690,Merton 002,49.2,20.36753446,1.4,12.4,8.2,806
E02000691,Merton 003,36.1,17.27616646,1.2,9.2,7.6,972
E02000692,Merton 004,35.7,13.59773371,1.6,10.4,6.0,1254
E02000693,Merton 005,33.3,9.635722679,3.8,10.1,10.3,900
E02000694,Merton 006,38.0,11.41141141,1.8,10.2,11.1,1127
E02000695,Merton 007,39.7,18.38006231,7.7,14.1,16.2,475
E02000696,Merton 008,37.6,14.16184971,7.0,11.7,16.5,525
E02000697,Merton 009,40.9,10.93560146,1.5,8.1,6.0,1124
E02000698,Merton 010,38.0,16.50197628,1.3,10.9,7.5,939
E02000699,Merton 011,25.0,13.0787037,1.3,9.2,8.0,899
E02000700,Merton 012,42.7,16.19396157,5.0,13.5,19.3,466
E02000701,Merton 013,42.0,17.6276771,7.0,13.7,20.4,416
E02000702,Merton 014,39.3,16.92982456,4.9,14.5,21.5,357
E02000703,Merton 015,34.3,17.59162304,2.1,12.4,12.1,699
E02000704,Merton 016,40.1,11.30876747,2.3,13.4,14.7,691
E02000705,Merton 017,30.2,20.30965392,5.1,14.4,18.9,402
E02000706,Merton 018,42.8,18.81113619,5.7,15.2,24.0,351
E02000707,Merton 019,41.6,22.70042194,3.0,13.6,22.2,267
E02000708,Merton 020,39.2,13.88638413,3.4,12.0,13.4,587
E02000709,Merton 021,31.0,16.55629139,2.2,13.9,16.6,546
E02000710,Merton 022,38.3,16.71335201,3.7,17.8,24.0,405
E02000711,Merton 023,45.6,17.76971895,5.2,15.5,22.0,430
E02000712,Merton 024,45.7,17.32217573,3.4,17.0,24.1,448
E02000713,Merton 025,29.9,14.3006263,1.7,13.8,21.8,459
E02000714,Newham 001,47.3,21.80312787,8.6,12.5,18.5,382
E02000715,Newham 002,59.0,31.23209169,10.0,15.5,22.9,187
E02000716,Newham 003,45.9,24.18367347,10.2,14.2,21.0,274
E02000717,Newham 004,53.8,27.44014733,11.7,14.7,21.6,231
E02000718,Newham 005,54.8,29.77941176,9.8,15.5,23.6,143
E02000719,Newham 006,38.7,21.9047619,8.3,13.1,17.3,380
E02000720,Newham 007,42.8,25.25366404,10.0,13.6,18.9,289
E02000721,Newham 008,51.8,26.44770959,12.0,13.8,21.3,307
E02000722,Newham 009,44.8,19.18542337,7.9,12.6,16.3,546
E02000723,Newham 010,50.3,27.7866242,11.9,14.7,19.2,276
E02000724,Newham 011,61.6,31.33561644,11.7,14.7,21.5,263
E02000725,Newham 012,41.6,16.8618267,6.5,11.9,14.3,689
E02000726,Newham 013,46.5,18.28316611,6.3,11.3,13.6,659
E02000727,Newham 014,54.4,28.96622313,11.9,13.5,19.4,213
E02000728,Newham 015,50.3,25.57286893,10.4,13.8,18.1,238
E02000729,Newham 016,45.9,23.13953488,10.1,14.3,20.6,335
E02000730,Newham 017,60.4,26.63414634,12.5,15.2,21.1,274
E02000731,Newham 018,57.5,26.22814321,10.9,13.4,18.4,294
E02000732,Newham 019,61.7,28.58508604,10.5,15.8,24.6,166
E02000733,Newham 020,50.6,27.99043062,7.5,13.7,22.1,434
E02000734,Newham 021,49.3,27.13026445,7.7,14.3,21.9,291
E02000735,Newham 022,61.0,26.07329843,10.6,14.9,22.5,253
E02000736,Newham 023,52.7,27.93553338,8.8,14.7,23.6,223
E02000737,Newham 024,45.2,27.6534296,7.6,14.7,22.1,287
E02000738,Newham 025,51.1,29.64254577,8.7,12.5,20.3,261
E02000739,Newham 026,48.0,22.02835333,8.3,14.2,21.5,290
E02000740,Newham 027,51.6,21.99349946,6.5,14.6,22.3,260
E02000741,Newham 028,50.9,24.54394693,8.1,13.5,22.2,287
E02000742,Newham 029,50.7,27.08333333,7.5,14.1,23.8,259
E02000743,Newham 030,52.0,24.45255474,7.2,17.0,27.3,246
E02000744,Newham 031,49.0,21.11959288,7.5,14.2,26.0,307
E02000745,Newham 032,42.7,20.41322314,8.0,12.8,22.1,412
E02000746,Newham 033,44.3,17.34795613,6.8,15.0,19.6,291
E02000747,Newham 034,52.0,24.55985915,4.4,13.6,20.9,822
E02000748,Newham 035,40.1,14.05919662,8.4,11.7,17.4,335
E02000749,Newham 036,46.5,23.72204473,5.1,16.4,28.9,298
E02000750,Newham 037,46.7,18.96678967,3.9,9.1,14.1,900
E02000751,Redbridge 001,26.3,16.31445478,0.8,14.9,15.0,1069
E02000752,Redbridge 002,50.5,18.47715736,2.0,21.8,31.2,313
E02000753,Redbridge 003,48.1,17.34357849,2.7,18.9,26.4,317
E02000754,Redbridge 004,47.1,14.75595914,2.1,14.3,18.9,448
E02000755,Redbridge 005,39.1,11.75656985,1.3,15.2,21.1,334
E02000756,Redbridge 006,48.7,15.33180778,2.6,15.4,21.2,802
E02000757,Redbridge 007,39.5,13.13347609,1.1,12.1,12.3,1186
E02000758,Redbridge 008,44.5,20.66326531,3.2,17.1,23.1,293
E02000759,Redbridge 009,39.4,15.97908193,2.8,12.3,15.9,881
E02000760,Redbridge 010,52.6,15.97151577,3.2,16.8,23.6,384
E02000762,Redbridge 012,39.7,19.12144703,3.8,16.6,17.2,336
E02000763,Redbridge 013,42.8,20.54108216,4.1,15.6,19.6,344
E02000764,Redbridge 014,34.8,12.16640502,1.6,16.3,14.9,1229
E02000765,Redbridge 015,42.3,19.6239718,4.8,15.1,17.2,305
E02000767,Redbridge 017,43.1,18.77890842,4.0,15.5,19.6,371
E02000768,Redbridge 018,25.2,15.39528433,1.4,13.4,13.8,556
E02000769,Redbridge 019,49.7,19.14311759,3.4,13.9,18.5,640
E02000770,Redbridge 020,43.7,25.94296228,5.9,14.2,17.6,350
E02000772,Redbridge 022,57.0,21.95540309,6.4,14.4,18.3,363
E02000773,Redbridge 023,50.6,23.10418143,6.0,12.8,17.3,382
E02000774,Redbridge 024,63.7,23.64380757,7.9,14.3,18.5,272
E02000776,Redbridge 026,54.9,25.02818489,6.2,14.0,16.2,312
E02000777,Redbridge 027,35.6,15.05944518,2.1,16.2,16.4,512
E02000779,Redbridge 029,53.2,15.4772141,7.1,13.7,16.9,332
E02000780,Redbridge 030,64.9,27.04252269,8.9,13.3,18.6,502
E02000781,Redbridge 031,42.9,26.2605042,5.9,14.8,20.5,588
E02000782,Redbridge 032,66.0,26.55571635,9.8,14.4,19.8,271
E02000783,Redbridge 033,67.6,27.71599658,8.2,14.7,20.5,217
E02000784,Richmond upon Thames 001,42.1,19.18335901,0.9,11.1,9.1,1463
E02000785,Richmond upon Thames 002,34.0,13.15789474,0.9,9.9,5.8,1370
E02000786,Richmond upon Thames 003,39.1,13.55072464,0.8,10.4,9.8,1546
E02000787,Richmond upon Thames 004,43.9,14.24354244,1.6,11.5,11.6,1293
E02000788,Richmond upon Thames 005,29.9,14.15174766,0.9,9.7,7.6,1148
E02000789,Richmond upon Thames 006,33.9,15.83452211,1.1,10.9,8.8,927
E02000790,Richmond upon Thames 007,29.4,13.3938706,0.5,7.4,5.4,896
E02000791,Richmond upon Thames 008,31.2,11.32404181,0.7,8.9,5.1,1075
E02000792,Richmond upon Thames 009,37.0,15.64102564,0.9,10.7,6.4,1037
E02000793,Richmond upon Thames 010,39.4,14.63654224,1.8,14.4,16.8,566
E02000794,Richmond upon Thames 011,31.8,14.03091558,0.9,10.7,10.4,716
E02000795,Richmond upon Thames 012,35.5,21.16040956,0.7,11.0,9.3,824
E02000796,Richmond upon Thames 013,47.6,17.00581395,2.5,15.3,20.4,572
E02000797,Richmond upon Thames 014,35.9,8.8639201,0.8,8.1,6.4,953
E02000798,Richmond upon Thames 015,27.7,11.78861789,1.3,12.0,13.4,948
E02000799,Richmond upon Thames 016,32.0,15.63342318,0.4,8.9,6.2,694
E02000800,Richmond upon Thames 017,44.6,16.20029455,1.3,14.9,17.3,338
E02000801,Richmond upon Thames 018,25.9,11.62255466,0.5,8.7,7.9,753
E02000802,Richmond upon Thames 019,23.9,13.23692992,0.7,13.0,11.4,701
E02000803,Richmond upon Thames 020,40.8,13.21695761,1.4,15.6,17.6,688
E02000804,Richmond upon Thames 021,26.8,14.23611111,0.5,11.8,8.4,805
E02000805,Richmond upon Thames 022,43.0,14.46776612,0.9,12.3,10.0,1069
E02000806,Richmond upon Thames 023,39.1,11.28165771,0.6,13.0,12.5,917
E02000807,Southwark 001,41.7,8.947368421,1.4,9.1,10.0,1251
E02000808,Southwark 002,47.8,15.05016722,1.7,11.3,10.8,1483
E02000809,Southwark 003,49.3,10.82802548,1.1,6.7,6.4,3238
E02000810,Southwark 004,52.7,16.85499058,2.5,14.5,19.8,878
E02000812,Southwark 006,44.4,16.51560926,2.3,13.6,14.4,1111
E02000813,Southwark 007,51.4,18.21705426,3.2,14.7,20.7,647
E02000814,Southwark 008,39.5,11.27717391,2.2,9.9,10.8,1173
E02000815,Southwark 009,40.6,17.67955801,3.6,9.0,9.6,747
E02000816,Southwark 010,49.7,15.59714795,2.9,15.4,23.8,606
E02000817,Southwark 011,52.6,15.38461538,3.9,20.4,29.9,325
E02000818,Southwark 012,40.0,18.56060606,3.9,16.2,21.4,503
E02000819,Southwark 013,48.3,19.3236715,4.2,15.5,20.9,455
E02000820,Southwark 014,45.4,19.39799331,3.5,14.1,17.0,697
E02000821,Southwark 015,43.7,22.13868003,6.0,14.6,22.6,343
E02000822,Southwark 016,45.9,19.84126984,5.5,14.5,21.7,382
E02000823,Southwark 017,44.1,19.02113459,4.7,15.0,19.2,514
E02000824,Southwark 018,47.7,25.61750176,4.4,14.9,22.0,327
E02000825,Southwark 019,46.0,21.05943152,4.7,13.8,19.6,430
E02000826,Southwark 020,38.2,20.44247788,4.3,13.7,17.8,490
E02000827,Southwark 021,37.1,19.44240646,4.8,14.2,19.0,571
E02000828,Southwark 022,50.6,20.39586919,5.5,15.3,20.4,395
E02000829,Southwark 023,43.9,16.18969747,4.1,17.5,20.4,590
E02000830,Southwark 024,44.1,18.09421842,2.0,12.6,11.6,906
E02000831,Southwark 025,42.5,13.62445415,2.5,14.2,14.3,810
E02000832,Southwark 026,46.8,20.1509434,2.9,17.6,21.7,497
E02000833,Southwark 027,39.1,16.54545455,3.0,11.5,14.6,480
E02000834,Southwark 028,39.6,11.75869121,1.2,12.2,11.3,1030
E02000835,Southwark 029,46.6,13.31417625,2.0,13.7,16.6,516
E02000836,Southwark 030,33.9,13.61003861,1.2,11.8,11.5,955
E02000837,Southwark 031,32.5,20.7852194,0.8,9.3,8.1,1209
E02000838,Southwark 032,42.3,14.1285956,1.4,13.0,13.9,852
E02000839,Southwark 033,47.9,16.27246925,1.6,14.1,12.7,705
E02000840,Sutton 001,47.9,15.48242334,1.7,16.9,28.1,370
E02000841,Sutton 002,48.0,16.90245719,2.4,16.3,27.5,400
E02000842,Sutton 003,34.7,15.83756345,1.5,14.4,21.6,451
E02000843,Sutton 004,42.1,14.02142162,1.2,11.7,18.5,508
E02000844,Sutton 005,35.8,15.44571933,1.2,15.4,23.4,419
E02000845,Sutton 006,34.2,11.34421134,2.1,11.3,15.9,630
E02000846,Sutton 007,36.5,13.4595163,1.3,15.7,20.5,397
E02000847,Sutton 008,32.4,13.43984962,1.3,14.6,19.2,576
E02000848,Sutton 009,25.1,16.57559199,1.0,11.7,18.8,472
E02000849,Sutton 010,42.5,14.84759095,1.0,14.4,17.4,444
E02000850,Sutton 011,31.0,14.80169972,1.0,13.6,19.8,604
E02000851,Sutton 012,53.3,11.79941003,2.6,17.3,21.5,515
E02000852,Sutton 013,34.0,11.37055838,1.0,11.7,17.0,523
E02000853,Sutton 014,37.5,11.88299817,1.8,12.7,17.7,509
E02000854,Sutton 015,39.2,14.2384106,0.6,13.4,15.1,556
E02000855,Sutton 016,29.5,13.94891945,1.2,12.6,13.6,567
E02000856,Sutton 017,29.1,13.16831683,1.2,13.3,15.0,613
E02000857,Sutton 018,40.6,8.05134189,1.7,15.2,13.8,622
E02000858,Sutton 019,52.2,19.37602627,1.5,16.9,25.3,321
E02000859,Sutton 020,43.7,14.87854251,1.2,17.5,18.2,564
E02000860,Sutton 021,42.9,10.40935673,2.1,17.0,17.5,580
E02000861,Sutton 022,25.3,16.68496158,0.6,11.7,11.2,625
E02000863,Sutton 024,35.3,17.24137931,0.7,15.0,17.6,514
E02000864,Tower Hamlets 001,58.5,27.42268041,5.4,18.4,28.6,508
E02000865,Tower Hamlets 002,63.1,29.30174564,8.4,17.0,24.6,401
E02000866,Tower Hamlets 003,51.6,25.05263158,4.3,13.4,19.5,861
E02000867,Tower Hamlets 004,59.2,23.47826087,4.6,11.6,16.0,1071
E02000868,Tower Hamlets 005,69.7,33.45454545,6.9,13.3,19.5,586
E02000869,Tower Hamlets 006,57.9,25.68807339,6.9,16.8,21.9,537
E02000870,Tower Hamlets 007,57.1,28.41068917,6.3,15.6,23.6,435
E02000871,Tower Hamlets 008,65.2,31.0137457,10.3,14.3,24.6,323
E02000872,Tower Hamlets 009,67.0,30.88023088,8.4,13.9,19.6,765
E02000873,Tower Hamlets 010,66.5,31.41426783,8.1,12.0,16.5,389
E02000874,Tower Hamlets 011,66.2,35.4679803,11.4,15.6,23.9,321
E02000875,Tower Hamlets 012,66.6,34.16046319,10.3,14.2,24.4,470
E02000876,Tower Hamlets 013,78.1,29.24242424,10.5,14.6,19.1,488
E02000877,Tower Hamlets 014,60.0,33.65695793,10.3,14.0,24.3,415
E02000878,Tower Hamlets 015,75.6,27.41116751,10.7,13.6,17.2,1215
E02000879,Tower Hamlets 016,64.6,33.58681876,9.8,18.4,26.3,373
E02000880,Tower Hamlets 017,64.2,29.13256956,10.7,15.3,23.1,317
E02000881,Tower Hamlets 018,66.1,35.17382413,9.2,15.4,29.2,265
E02000882,Tower Hamlets 019,65.7,35.47826087,11.0,16.4,27.5,332
E02000883,Tower Hamlets 020,62.6,32.27561197,10.0,18.3,31.9,263
E02000884,Tower Hamlets 021,73.8,27.25968436,10.2,11.2,13.6,1426
E02000885,Tower Hamlets 022,67.5,33.65617433,12.2,18.3,27.2,337
E02000886,Tower Hamlets 023,61.3,25.40322581,7.6,12.3,17.1,1022
E02000887,Tower Hamlets 024,62.0,27.17569787,9.8,15.0,26.4,412
E02000888,Tower Hamlets 025,59.9,29.19389978,8.8,10.7,16.5,1066
E02000889,Tower Hamlets 026,56.2,24.79871176,6.9,11.8,15.7,935
E02000890,Tower Hamlets 027,40.6,13.50649351,2.5,8.8,8.8,1349
E02000891,Tower Hamlets 028,58.2,22.46203038,4.8,8.2,11.6,1902
E02000893,Tower Hamlets 030,58.3,17.3053152,5.1,14.2,20.3,611
E02000894,Tower Hamlets 031,58.7,15.32921811,4.6,7.7,11.2,1490
E02000895,Waltham Forest 001,46.1,17.70623742,2.0,20.0,29.1,380
E02000896,Waltham Forest 002,39.6,13.17073171,1.0,16.2,19.9,677
E02000897,Waltham Forest 003,49.3,17.59776536,2.1,19.8,29.3,445
E02000898,Waltham Forest 004,48.0,14.96598639,2.1,18.4,26.3,407
E02000899,Waltham Forest 005,36.0,14.4,2.7,16.5,25.2,454
E02000900,Waltham Forest 006,49.5,20.12522361,3.2,16.7,26.3,360
E02000901,Waltham Forest 007,35.7,15.56082148,1.5,15.1,18.4,597
E02000902,Waltham Forest 008,46.9,20.92050209,3.6,14.4,22.0,404
E02000903,Waltham Forest 009,55.4,24.4478294,6.5,16.9,26.3,377
E02000904,Waltham Forest 010,47.0,18.12816189,4.4,12.4,18.6,446
E02000905,Waltham Forest 011,47.7,19.1376702,6.7,13.5,19.7,442
E02000906,Waltham Forest 012,48.3,20.29548989,7.2,12.8,20.7,444
E02000907,Waltham Forest 013,53.8,25.94936709,6.7,16.3,24.7,376
E02000908,Waltham Forest 014,45.1,15.98455598,6.7,12.7,18.0,602
E02000909,Waltham Forest 015,42.4,15.42416452,4.2,13.2,16.8,543
E02000910,Waltham Forest 016,51.7,16.76646707,7.9,14.4,17.3,617
E02000911,Waltham Forest 017,49.7,19.30555556,7.7,13.4,19.4,526
E02000912,Waltham Forest 018,46.6,25.71202532,8.1,15.7,23.0,404
E02000913,Waltham Forest 019,48.8,23.51797862,6.6,14.4,19.4,467
E02000914,Waltham Forest 020,56.5,25.67272727,10.8,15.7,23.0,364
E02000915,Waltham Forest 021,45.3,16.48471616,4.3,13.7,16.6,614
E02000916,Waltham Forest 022,45.7,18.58887381,8.6,12.1,21.7,380
E02000917,Waltham Forest 023,34.0,19.1626409,7.8,10.5,16.0,444
E02000918,Waltham Forest 024,49.5,17.60435572,5.6,12.7,16.8,558
E02000919,Waltham Forest 025,45.8,18.9,7.8,12.4,16.9,528
E02000920,Waltham Forest 026,51.5,21.02519548,7.2,14.0,18.8,419
E02000921,Waltham Forest 027,55.0,24.28958051,6.5,14.1,20.0,475
E02000922,Waltham Forest 028,41.3,20.03081664,8.3,12.8,18.3,483
E02000923,Wandsworth 001,37.0,12.30283912,1.5,10.7,9.0,1294
E02000924,Wandsworth 002,52.1,15.65703635,3.6,11.9,13.6,1324
E02000925,Wandsworth 003,49.7,19.65020576,2.4,14.6,17.6,775
E02000926,Wandsworth 004,49.8,15.25658807,1.6,9.8,9.9,1472
E02000927,Wandsworth 005,54.9,13.44262295,0.9,14.1,17.0,927
E02000928,Wandsworth 006,39.8,16.30804077,0.6,8.6,7.5,1414
E02000929,Wandsworth 007,49.5,18.63488624,3.0,15.3,21.9,422
E02000930,Wandsworth 008,46.5,10.62416999,1.0,8.5,7.7,1742
E02000931,Wandsworth 009,33.8,14.40377804,0.7,6.4,5.3,1818
E02000932,Wandsworth 010,43.9,12.6778784,1.2,6.3,5.1,2065
E02000933,Wandsworth 011,45.2,19.12632822,1.2,10.3,9.2,1322
E02000934,Wandsworth 012,39.6,11.01573677,1.2,9.0,8.7,1632
E02000935,Wandsworth 013,57.4,19.47115385,4.1,15.8,18.7,286
E02000936,Wandsworth 014,53.5,15.69282137,1.5,11.8,8.5,1166
E02000937,Wandsworth 015,37.6,19.70649895,1.0,8.1,7.1,1449
E02000938,Wandsworth 016,52.7,16.72661871,2.6,16.7,17.7,781
E02000939,Wandsworth 017,50.8,18.52534562,1.2,9.1,7.6,1354
E02000940,Wandsworth 018,51.0,17.20183486,3.4,11.4,14.7,819
E02000941,Wandsworth 019,43.7,19.05187835,1.2,9.3,9.8,1598
E02000942,Wandsworth 020,34.2,21.34423252,2.1,8.7,7.9,1332
E02000943,Wandsworth 021,37.6,18.85790173,1.4,8.5,7.5,1452
E02000944,Wandsworth 022,47.9,21.13459399,4.1,15.1,17.3,585
E02000945,Wandsworth 023,48.1,21.20051086,4.2,16.0,18.7,343
E02000946,Wandsworth 024,46.9,18.43137255,2.9,13.6,15.9,1000
E02000947,Wandsworth 025,38.3,9.359104781,1.2,8.8,8.6,1204
E02000948,Wandsworth 026,46.9,13.08176101,1.3,9.1,8.0,1577
E02000949,Wandsworth 027,31.2,20.24291498,1.0,10.0,7.0,1573
E02000950,Wandsworth 028,46.0,18.87694146,3.0,10.8,12.2,803
E02000951,Wandsworth 029,43.4,16.34446397,1.8,13.0,10.0,831
E02000952,Wandsworth 030,50.4,23.27447833,2.4,11.7,10.1,817
E02000953,Wandsworth 031,37.1,14.09883721,2.1,9.1,10.4,860
E02000954,Wandsworth 032,57.5,22.44897959,4.5,12.0,13.0,560
E02000955,Wandsworth 033,53.3,17.40696279,4.9,14.3,18.0,429
E02000956,Wandsworth 034,55.5,20.69857697,4.6,12.5,14.4,511
E02000957,Wandsworth 035,53.5,16.2138475,5.5,12.7,13.5,820
E02000958,Wandsworth 036,39.2,19.8156682,3.4,13.1,14.4,563
E02000959,Wandsworth 037,49.8,17.49745677,4.9,13.9,16.9,488
E02000960,Westminster 001,49.6,14.36781609,4.2,13.9,11.7,1133
E02000961,Westminster 002,60.5,23.67972743,4.7,13.9,13.7,1325
E02000962,Westminster 003,56.2,19.63636364,4.9,16.9,14.0,1142
E02000963,Westminster 004,56.6,24.21203438,5.7,19.9,23.8,594
E02000964,Westminster 005,56.5,19.64769648,4.8,18.2,19.0,998
E02000965,Westminster 006,56.9,16.23449831,3.2,11.5,9.8,1485
E02000966,Westminster 007,50.9,15.40880503,3.8,11.5,8.5,1983
E02000967,Westminster 008,58.5,12.62729124,2.6,9.1,6.4,1499
E02000968,Westminster 009,67.4,28.81172002,9.9,22.8,27.7,737
E02000969,Westminster 010,62.4,26.11464968,7.5,21.3,25.8,505
E02000970,Westminster 011,40.2,10.2739726,1.7,8.2,5.9,2363
E02000971,Westminster 012,55.9,15.81632653,3.8,11.0,9.0,1719
E02000972,Westminster 013,57.3,18.1122449,3.5,13.2,10.1,1602
E02000973,Westminster 014,54.1,16.52281134,2.7,12.9,8.9,2052
E02000974,Westminster 015,65.9,18.99736148,5.6,12.7,13.2,1347
E02000975,Westminster 016,55.0,13.12607945,3.5,8.6,5.9,1958
E02000976,Westminster 017,55.9,18.72399445,4.1,11.0,7.8,1870
E02000977,Westminster 018,44.3,11.14551084,3.3,11.0,9.4,1722
E02000978,Westminster 019,50.9,17.37849779,2.3,6.0,5.7,1792
E02000979,Westminster 020,46.3,15.26845638,2.9,13.2,10.8,1574
E02000980,Westminster 021,57.3,18.15889029,3.8,16.5,14.0,1253
E02000981,Westminster 022,46.5,15.78947368,2.1,11.6,7.6,1923
E02000982,Westminster 023,61.3,19.93087558,4.1,16.8,15.8,1009
E02000983,Westminster 024,55.6,20.67567568,3.5,17.6,16.9,1158
E02006782,Bromley 040,43.9,15.68627451,1.1,18.0,22.6,475
E02006783,Lewisham 037,50.7,18.64820847,2.2,18.1,30.1,239
E02006784,Lewisham 038,47.1,19.98060136,2.2,19.6,30.2,319
E02006785,Bexley 029,40.3,16.79586563,1.6,18.3,27.3,289
E02006786,Greenwich 033,46.8,18.28571429,2.9,14.7,22.1,268
E02006787,Bromley 041,29.6,13.65313653,0.5,13.1,16.7,501
E02006788,Croydon 045,39.5,17.84860558,1.8,14.9,21.3,294
E02006789,Bromley 042,36.5,15.07607192,0.1,15.8,21.1,542
E02006791,Ealing 040,43.4,11.88118812,2.3,11.2,10.2,897
E02006792,Hounslow 029,45.2,13.69127517,2.4,12.4,9.2,1093
E02006793,Enfield 037,59.7,20.46543463,12.1,16.4,30.6,274
E02006794,Haringey 037,58.7,23.10374891,12.5,16.9,30.1,231
E02006795,Harrow 032,38.7,15.77540107,5.3,13.9,14.4,386
E02006796,Hillingdon 033,39.6,13.06191688,2.2,13.6,19.6,489
E02006798,Lewisham 039,47.7,18.01896733,6.3,13.7,18.9,365
E02006799,Barking and Dagenham 023,50.2,19.3174501,3.3,18.0,30.1,348
E02006800,Redbridge 034,52.7,24.10171365,7.1,14.3,18.1,569
E02006801,Lambeth 036,44.9,15.02683363,2.4,12.3,13.0,1057
E02006802,Southwark 034,41.4,15.7807309,3.0,14.2,14.1,654
E02006836,Sutton 025,25.7,15.1,0.9,13.0,12.8,755
E02006853,Tower Hamlets 032,58.9,21.9895288,5.0,9.7,14.6,1044
E02006854,Tower Hamlets 033,58.6,23.60248447,3.7,6.8,7.9,1503
E02006882,Harrow 033,27.9,16.71606402,7.0,14.4,18.5,737
E02006918,Hackney 028,51.2,25.39130435,7.6,15.0,21.0,349
E02006921,Hackney 029,52.4,29.65217391,9.5,14.9,31.1,230
E02006924,Redbridge 035,46.8,22.14377407,5.4,15.5,17.6,630
E02006925,Redbridge 036,40.8,22.04724409,4.6,14.9,17.0,743
E02006927,Greenwich 034,51.2,20.2965709,2.3,16.8,21.2,564
E02006928,Greenwich 035,50.4,14.09147095,3.3,9.2,11.4,674
E02006929,Greenwich 036,53.1,16.32183908,2.6,14.3,16.9,741
E02006930,Greenwich 037,46.6,13.62940276,1.8,11.3,12.9,727
E02006931,Greenwich 038,41.1,16.9792695,1.5,12.7,14.0,1170
